DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK-12,FREE,REDUCED,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,717,28,22,667,50,3.91%,3.07%,6.97%
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,1050,319,88,643,407,30.38%,8.38%,38.76%
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,1980,221,90,1657,311,11.16%,4.55%,15.71%
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,385,210,49,126,259,54.55%,12.73%,67.27%
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,465,248,60,157,308,53.33%,12.90%,66.24%
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,490,426,30,34,456,86.94%,6.12%,93.06%
0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,679,524,51,104,575,77.17%,7.51%,84.68%
0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,1735,479,67,1189,546,27.61%,3.86%,31.47%
0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,2048,379,131,1538,510,18.51%,6.40%,24.90%
0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,634,119,29,467,148,18.77%,4.57%,23.34%
0020,ADAMS 12 FIVE STAR SCHOOLS,6261,NEW AMERICA SCHOOL,476,18,1,457,19,3.78%,0.21%,3.99%
0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,1035,240,92,703,332,23.19%,8.89%,32.08%
0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,443,301,46,96,347,67.95%,10.38%,78.33%
0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,471,385,40,46,425,81.74%,8.49%,90.23%
0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,737,389,74,274,463,52.78%,10.04%,62.82%
0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,1819,470,65,1284,535,25.84%,3.57%,29.41%
0020,ADAMS 12 FIVE STAR SCHOOLS,6830,NIVER CREEK MIDDLE SCHOOL,745,619,44,82,663,83.09%,5.91%,88.99%
0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,542,31,23,488,54,5.72%,4.24%,9.96%
0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,737,34,12,691,46,4.61%,1.63%,6.24%
0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,198,37,20,141,57,18.69%,10.10%,28.79%
0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,640,167,59,414,226,26.09%,9.22%,35.31%
0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,452,265,57,130,322,58.63%,12.61%,71.24%
0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,484,362,44,78,406,74.79%,9.09%,83.88%
0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,142,9,1,132,10,6.34%,0.70%,7.04%
0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,917,163,62,685,225,17.78%,6.76%,24.54%
0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,482,174,52,256,226,36.10%,10.79%,46.89%
0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,429,128,47,254,175,29.84%,10.96%,40.79%
0020,ADAMS 12 FIVE STAR SCHOOLS,,DISTRICT TOTAL,41949,11057,2444,28346,13501,26.36%,5.83%,32.18%
0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,691,544,75,72,619,78.73%,10.85%,89.58%
0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,203,90,16,83,106,44.33%,7.88%,52.22%
0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,1665,1033,169,410,1202,62.04%,10.15%,72.19%
0030,ADAMS COUNTY 14,0124,ACSD 14 CHILD CARE CENTER,110,58,13,39,71,52.73%,11.82%,64.55%
0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,591,442,73,73,515,74.79%,12.35%,87.14%
0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,638,473,52,112,525,74.14%,8.15%,82.29%
0030,ADAMS COUNTY 14,1882,COMMUNITY LEADERSHIP ACADEMY,472,335,59,78,394,70.97%,12.50%,83.47%
0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,572,438,56,78,494,76.57%,9.79%,86.36%
0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,525,370,78,77,448,70.48%,14.86%,85.33%
0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,432,332,39,61,371,76.85%,9.03%,85.88%
0030,ADAMS COUNTY 14,5880,MILDRED L SANVILLE PRESCHOOL,92,67,5,20,72,72.83%,5.43%,78.26%
0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,494,398,56,40,454,80.57%,11.34%,91.90%
0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,513,401,74,35,475,78.17%,14.42%,92.59%
0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,424,307,43,73,350,72.41%,10.14%,82.55%
0030,ADAMS COUNTY 14,,DISTRICT TOTAL,7422,5288,808,1251,6096,71.25%,10.89%,82.13%
0040,BRIGHTON 27J,0700,BELLE CREEK CHARTER SCHOOL,675,148,79,447,227,21.93%,11.70%,33.63%
0040,BRIGHTON 27J,1021,BRIGHTON HERITAGE ACADEMY,205,62,12,118,74,30.24%,5.85%,36.10%
0040,BRIGHTON 27J,1022,BRIGHTON HIGH SCHOOL,1532,243,59,1219,302,15.86%,3.85%,19.71%
0040,BRIGHTON 27J,1027,BRIGHTON COLLEGIATE HIGH SCHOOL,263,68,29,162,97,25.86%,11.03%,36.88%
0040,BRIGHTON 27J,1052,BROMLEY EAST CHARTER SCHOOL,820,124,57,639,181,15.12%,6.95%,22.07%
0040,BRIGHTON 27J,3900,HENDERSON ELEMENTARY SCHOOL,512,124,40,347,164,24.22%,7.81%,32.03%
0040,BRIGHTON 27J,4950,LANDMARK ACADEMY AT REUNION,614,41,13,560,54,6.68%,2.12%,8.79%
0040,BRIGHTON 27J,5615,MARY E PENNOCK ELEMENTARY SCHOOL,807,197,94,516,291,24.41%,11.65%,36.06%
0040,BRIGHTON 27J,6294,NORTH ELEMENTARY SCHOOL,420,278,27,113,305,66.19%,6.43%,72.62%
0040,BRIGHTON 27J,6395,NORTHEAST ELEMENTARY SCHOOL,624,266,65,292,331,42.63%,10.42%,53.04%
0040,BRIGHTON 27J,6638,OVERLAND TRAIL MIDDLE SCHOOL,682,224,68,387,292,32.84%,9.97%,42.82%
0040,BRIGHTON 27J,6702,OTHO E STUART MIDDLE SCHOOL,489,106,46,334,152,21.68%,9.41%,31.08%
0040,BRIGHTON 27J,7129,PRAIRIE VIEW HIGH SCHOOL,1455,316,104,1025,420,21.72%,7.15%,28.87%
0040,BRIGHTON 27J,7131,PRAIRIE VIEW MIDDLE SCHOOL,776,201,76,498,277,25.90%,9.79%,35.70%
0040,BRIGHTON 27J,7714,SECOND CREEK ELEMENTARY SCHOOL,579,121,59,399,180,20.90%,10.19%,31.09%
0040,BRIGHTON 27J,7725,SD 27J PRESCHOOL AT THE BRIGHTON LRC,116,0,0,114,0,0%,0%,0%
0040,BRIGHTON 27J,8032,JOHN W THIMMIG ELEMENTARY SCHOOL,594,149,60,385,209,25.08%,10.10%,35.19%
0040,BRIGHTON 27J,8060,SOUTH ELEMENTARY SCHOOL,600,326,56,216,382,54.33%,9.33%,63.67%
0040,BRIGHTON 27J,8130,SOUTHEAST ELEMENTARY SCHOOL,739,231,76,431,307,31.26%,10.28%,41.54%
0040,BRIGHTON 27J,8820,TURNBERRY ELEMENTARY,663,118,44,501,162,17.80%,6.64%,24.43%
0040,BRIGHTON 27J,9230,VIKAN MIDDLE SCHOOL,592,234,64,293,298,39.53%,10.81%,50.34%
0040,BRIGHTON 27J,9426,WEST RIDGE ELEMENTARY,712,67,32,613,99,9.41%,4.49%,13.90%
