DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK-12,FREE,REDUCED,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
0130,CHERRY CREEK 5,4100,HORIZON MIDDLE SCHOOL,1018,298,138,582,436,29.27%,13.56%,42.83%
0130,CHERRY CREEK 5,4276,INDEPENDENCE ELEMENTARY SCHOOL,508,175,69,264,244,34.45%,13.58%,48.03%
0130,CHERRY CREEK 5,4280,INDIAN RIDGE ELEMENTARY SCHOOL,609,29,28,537,57,4.76%,4.60%,9.36%
0130,CHERRY CREEK 5,4975,LAREDO MIDDLE SCHOOL,1191,265,125,801,390,22.25%,10.50%,32.75%
0130,CHERRY CREEK 5,5744,MEADOW POINT ELEMENTARY SCHOOL,540,168,71,274,239,31.11%,13.15%,44.26%
0130,CHERRY CREEK 5,5934,MISSION VIEJO ELEMENTARY SCHOOL,730,194,62,453,256,26.58%,8.49%,35.07%
0130,CHERRY CREEK 5,6625,OVERLAND HIGH SCHOOL,2138,870,278,990,1148,40.69%,13%,53.70%
0130,CHERRY CREEK 5,6820,PEAKVIEW ELEMENTARY SCHOOL,663,64,34,533,98,9.65%,5.13%,14.78%
0130,CHERRY CREEK 5,7102,POLTON COMMUNITY ELEMENTARY SCHOOL,462,98,47,290,145,21.21%,10.17%,31.39%
0130,CHERRY CREEK 5,7116,PONDEROSA ELEMENTARY SCHOOL,736,323,85,301,408,43.89%,11.55%,55.43%
0130,CHERRY CREEK 5,7158,PRAIRIE MIDDLE SCHOOL,1550,774,235,541,1009,49.94%,15.16%,65.10%
0130,CHERRY CREEK 5,7277,RED HAWK RIDGE ELEMENTARY SCHOOL,684,155,79,401,234,22.66%,11.55%,34.21%
0130,CHERRY CREEK 5,7476,ROLLING HILLS ELEMENTARY SCHOOL,713,25,21,667,46,3.51%,2.95%,6.45%
0130,CHERRY CREEK 5,7559,SAGEBRUSH ELEMENTARY SCHOOL,595,163,58,374,221,27.39%,9.75%,37.14%
0130,CHERRY CREEK 5,8020,SMOKY HILL HIGH SCHOOL,2374,402,202,1770,604,16.93%,8.51%,25.44%
0130,CHERRY CREEK 5,8380,SUMMIT ELEMENTARY SCHOOL,478,119,55,304,174,24.90%,11.51%,36.40%
0130,CHERRY CREEK 5,8394,SUNRISE ELEMENTARY SCHOOL,707,161,84,434,245,22.77%,11.88%,34.65%
0130,CHERRY CREEK 5,8848,THUNDER RIDGE MIDDLE SCHOOL,1216,150,97,969,247,12.34%,7.98%,20.31%
0130,CHERRY CREEK 5,8850,TIMBERLINE ELEMENTARY SCHOOL,754,70,42,584,112,9.28%,5.57%,14.85%
0130,CHERRY CREEK 5,8887,TRAILS WEST ELEMENTARY SCHOOL,621,71,32,468,103,11.43%,5.15%,16.59%
0130,CHERRY CREEK 5,9108,VILLAGE EAST COMMUNITY ELEMENTARY SCHOOL,816,378,121,317,499,46.32%,14.83%,61.15%
0130,CHERRY CREEK 5,9200,WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,428,42,17,340,59,9.81%,3.97%,13.79%
0130,CHERRY CREEK 5,9624,WILLOW CREEK ELEMENTARY SCHOOL,553,18,7,528,25,3.25%,1.27%,4.52%
0130,CHERRY CREEK 5,,DISTRICT TOTAL,51708,8795,3621,38531,12416,17.01%,7%,24.01%
0140,LITTLETON 6,0298,ARAPAHOE HIGH SCHOOL,2251,77,29,2145,106,3.42%,1.29%,4.71%
0140,LITTLETON 6,0752,FRANKLIN ELEMENTARY SCHOOL,489,36,19,434,55,7.36%,3.89%,11.25%
0140,LITTLETON 6,1382,CENTENNIAL ACADEMY OF FINE ARTS EDUCATION,533,182,59,292,241,34.15%,11.07%,45.22%
0140,LITTLETON 6,2382,EAST ELEMENTARY SCHOOL,221,141,32,48,173,63.80%,14.48%,78.28%
0140,LITTLETON 6,2804,EUCLID MIDDLE SCHOOL,736,118,42,576,160,16.03%,5.71%,21.74%
0140,LITTLETON 6,2926,FIELD ELEMENTARY SCHOOL,438,289,43,106,332,65.98%,9.82%,75.80%
0140,LITTLETON 6,3472,GODDARD MIDDLE SCHOOL,767,215,50,502,265,28.03%,6.52%,34.55%
0140,LITTLETON 6,3930,HERITAGE HIGH SCHOOL,1722,119,42,1561,161,6.91%,2.44%,9.35%
0140,LITTLETON 6,3950,HIGHLAND ELEMENTARY SCHOOL,437,71,26,317,97,16.25%,5.95%,22.20%
0140,LITTLETON 6,4316,NEWTON MIDDLE SCHOOL,694,74,23,597,97,10.66%,3.31%,13.98%
0140,LITTLETON 6,4447,JOHN WESLEY POWELL MIDDLE SCHOOL,845,53,22,770,75,6.27%,2.60%,8.88%
0140,LITTLETON 6,5224,LITTLETON HIGH SCHOOL,1538,276,54,1208,330,17.95%,3.51%,21.46%
0140,LITTLETON 6,5229,LITTLETON ACADEMY,461,15,11,435,26,3.25%,2.39%,5.64%
0140,LITTLETON 6,5233,LITTLETON PREP CHARTER SCHOOL,513,83,33,397,116,16.18%,6.43%,22.61%
0140,LITTLETON 6,5236,LOIS LENSKI ELEMENTARY SCHOOL,616,16,22,578,38,2.60%,3.57%,6.17%
0140,LITTLETON 6,5572,HOPKINS ELEMENTARY SCHOOL,356,60,33,210,93,16.85%,9.27%,26.12%
0140,LITTLETON 6,5574,TWAIN ELEMENTARY SCHOOL,356,38,18,300,56,10.67%,5.06%,15.73%
0140,LITTLETON 6,6292,VILLAGE AT NORTH,284,81,8,110,89,28.52%,2.82%,31.34%
0140,LITTLETON 6,6814,PEABODY ELEMENTARY SCHOOL,430,65,30,335,95,15.12%,6.98%,22.09%
0140,LITTLETON 6,7518,RUNYON ELEMENTARY SCHOOL,452,35,22,395,57,7.74%,4.87%,12.61%
0140,LITTLETON 6,7606,SANDBURG ELEMENTARY SCHOOL,536,23,13,452,36,4.29%,2.43%,6.72%
0140,LITTLETON 6,8064,MOODY ELEMENTARY SCHOOL,434,132,42,225,174,30.41%,9.68%,40.09%
0140,LITTLETON 6,9600,WILDER ELEMENTARY SCHOOL,644,19,12,613,31,2.95%,1.86%,4.81%
0140,LITTLETON 6,,DISTRICT TOTAL,15753,2218,685,12606,2903,14.08%,4.35%,18.43%
0170,DEER TRAIL 26J,2136,DEER TRAIL ELEMENTARY SCHOOL,77,28,3,40,31,36.36%,3.90%,40.26%
0170,DEER TRAIL 26J,2140,DEER TRAIL JUNIOR-SENIOR HIGH SCHOOL,88,21,6,60,27,23.86%,6.82%,30.68%
0170,DEER TRAIL 26J,,DISTRICT TOTAL,165,49,9,100,58,29.70%,5.45%,35.15%
0180,ADAMS-ARAPAHOE 28J,0213,AXL ACADEMY,282,59,43,179,102,20.92%,15.25%,36.17%
0180,ADAMS-ARAPAHOE 28J,0214,ALTURA ELEMENTARY SCHOOL,492,407,31,54,438,82.72%,6.30%,89.02%
0180,ADAMS-ARAPAHOE 28J,0310,ARKANSAS ELEMENTARY SCHOOL,574,269,44,260,313,46.86%,7.67%,54.53%
0180,ADAMS-ARAPAHOE 28J,0458,AURORA ACADEMY CHARTER SCHOOL,491,110,49,332,159,22.40%,9.98%,32.38%
0180,ADAMS-ARAPAHOE 28J,0464,AURORA HILLS MIDDLE SCHOOL,991,598,89,302,687,60.34%,8.98%,69.32%
0180,ADAMS-ARAPAHOE 28J,0465,AURORA FRONTIER K-8,752,194,55,503,249,25.80%,7.31%,33.11%
0180,ADAMS-ARAPAHOE 28J,0914,BOSTON K-8 SCHOOL,375,318,18,38,336,84.80%,4.80%,89.60%
0180,ADAMS-ARAPAHOE 28J,1458,AURORA CENTRAL HIGH SCHOOL,2437,1520,142,734,1662,62.37%,5.83%,68.20%
0180,ADAMS-ARAPAHOE 28J,1470,CENTURY ELEMENTARY SCHOOL,429,208,40,180,248,48.48%,9.32%,57.81%
0180,ADAMS-ARAPAHOE 28J,1720,CLYDE MILLER ELEMENTARY SCHOOL,509,310,60,138,370,60.90%,11.79%,72.69%
0180,ADAMS-ARAPAHOE 28J,1800,COLUMBIA MIDDLE SCHOOL,789,308,71,410,379,39.04%,9%,48.04%
0180,ADAMS-ARAPAHOE 28J,1948,CRAWFORD ELEMENTARY SCHOOL,627,526,37,64,563,83.89%,5.90%,89.79%
0180,ADAMS-ARAPAHOE 28J,2095,DALTON ELEMENTARY SCHOOL,568,211,47,307,258,37.15%,8.27%,45.42%
0180,ADAMS-ARAPAHOE 28J,2114,DARTMOUTH ELEMENTARY SCHOOL,448,184,36,228,220,41.07%,8.04%,49.11%
0180,ADAMS-ARAPAHOE 28J,2384,EAST MIDDLE SCHOOL,968,756,81,130,837,78.10%,8.37%,86.47%
0180,ADAMS-ARAPAHOE 28J,2618,ELKHART ELEMENTARY SCHOOL,683,568,62,52,630,83.16%,9.08%,92.24%
0180,ADAMS-ARAPAHOE 28J,2951,AURORA PUBLIC SCHOOLS CHILD DEVELOPMENT CENTER,264,2,0,255,2,0.76%,0%,0.76%
0180,ADAMS-ARAPAHOE 28J,2995,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,237,207,14,16,221,87.34%,5.91%,93.25%
0180,ADAMS-ARAPAHOE 28J,2998,FLETCHER PRIMARY SCHOOL,405,329,21,55,350,81.23%,5.19%,86.42%
0180,ADAMS-ARAPAHOE 28J,3272,FULTON ELEMENTARY SCHOOL,498,388,30,79,418,77.91%,6.02%,83.94%
0180,ADAMS-ARAPAHOE 28J,3354,GATEWAY HIGH SCHOOL,1728,743,164,818,907,43%,9.49%,52.49%
0180,ADAMS-ARAPAHOE 28J,3471,GLOBAL VILLAGE ACADEMY,515,158,65,290,223,30.68%,12.62%,43.30%
0180,ADAMS-ARAPAHOE 28J,4024,HINKLEY HIGH SCHOOL,2067,1182,185,685,1367,57.18%,8.95%,66.13%
0180,ADAMS-ARAPAHOE 28J,4270,IOWA ELEMENTARY SCHOOL,517,262,41,209,303,50.68%,7.93%,58.61%
0180,ADAMS-ARAPAHOE 28J,4385,JAMAICA CHILD DEVELOPMENT CENTER,243,6,0,229,6,2.47%,0%,2.47%
0180,ADAMS-ARAPAHOE 28J,4426,JEWELL ELEMENTARY SCHOOL,548,279,65,201,344,50.91%,11.86%,62.77%
0180,ADAMS-ARAPAHOE 28J,4646,KENTON ELEMENTARY SCHOOL,556,445,30,81,475,80.04%,5.40%,85.43%
0180,ADAMS-ARAPAHOE 28J,4970,LANSING ELEMENTARY SCHOOL,394,287,21,86,308,72.84%,5.33%,78.17%
0180,ADAMS-ARAPAHOE 28J,4973,LAREDO ELEMENTARY SCHOOL,475,363,33,79,396,76.42%,6.95%,83.37%
0180,ADAMS-ARAPAHOE 28J,5298,LOTUS SCHOOL FOR EXCELLENCE,304,124,29,151,153,40.79%,9.54%,50.33%
0180,ADAMS-ARAPAHOE 28J,5361,LYN KNOLL ELEMENTARY SCHOOL,294,230,26,37,256,78.23%,8.84%,87.07%
0180,ADAMS-ARAPAHOE 28J,6068,MONTVIEW ELEMENTARY SCHOOL,464,386,24,53,410,83.19%,5.17%,88.36%
0180,ADAMS-ARAPAHOE 28J,6160,MRACHEK MIDDLE SCHOOL,988,494,100,394,594,50%,10.12%,60.12%
0180,ADAMS-ARAPAHOE 28J,6189,MURPHY CREEK K-8 SCHOOL,689,112,55,522,167,16.26%,7.98%,24.24%
0180,ADAMS-ARAPAHOE 28J,6219,NEW AMERICA SCHOOL,569,370,75,102,445,65.03%,13.18%,78.21%
0180,ADAMS-ARAPAHOE 28J,6310,NORTH MIDDLE SCHOOL,698,559,40,99,599,80.09%,5.73%,85.82%
0180,ADAMS-ARAPAHOE 28J,6546,OPTIONS SCHOOL,1639,3,0,1636,3,0.18%,0%,0.18%
0180,ADAMS-ARAPAHOE 28J,6728,PARIS ELEMENTARY SCHOOL,404,363,12,28,375,89.85%,2.97%,92.82%
0180,ADAMS-ARAPAHOE 28J,6758,PARK LANE ELEMENTARY SCHOOL,359,249,29,76,278,69.36%,8.08%,77.44%
0180,ADAMS-ARAPAHOE 28J,6869,PEORIA ELEMENTARY SCHOOL,503,361,34,108,395,71.77%,6.76%,78.53%
0180,ADAMS-ARAPAHOE 28J,7232,AURORA QUEST ACADEMY,580,87,37,456,124,15%,6.38%,21.38%
0180,ADAMS-ARAPAHOE 28J,7250,RANGEVIEW HIGH SCHOOL,2268,666,159,1434,825,29.37%,7.01%,36.38%
0180,ADAMS-ARAPAHOE 28J,7558,SABLE ELEMENTARY SCHOOL,479,361,32,85,393,75.37%,6.68%,82.05%
0180,ADAMS-ARAPAHOE 28J,7865,SIDE CREEK ELEMENTARY SCHOOL,720,231,44,445,275,32.08%,6.11%,38.19%
0180,ADAMS-ARAPAHOE 28J,7932,SIXTH AVENUE ELEMENTARY SCHOOL,663,521,33,106,554,78.58%,4.98%,83.56%
0180,ADAMS-ARAPAHOE 28J,8078,SOUTH MIDDLE SCHOOL,647,489,53,103,542,75.58%,8.19%,83.77%
0180,ADAMS-ARAPAHOE 28J,8356,WILLIAM SMITH HIGH SCHOOL,266,91,15,159,106,34.21%,5.64%,39.85%
0180,ADAMS-ARAPAHOE 28J,8858,TOLLGATE ELEMENTARY SCHOOL,643,441,66,136,507,68.58%,10.26%,78.85%
0180,ADAMS-ARAPAHOE 28J,9056,VANGUARD CLASSICAL SCHOOL,499,209,51,239,260,41.88%,10.22%,52.10%
0180,ADAMS-ARAPAHOE 28J,9059,VASSAR ELEMENTARY SCHOOL,524,221,45,258,266,42.18%,8.59%,50.76%
0180,ADAMS-ARAPAHOE 28J,9060,VAUGHN ELEMENTARY SCHOOL,550,399,28,122,427,72.55%,5.09%,77.64%
0180,ADAMS-ARAPAHOE 28J,9140,VIRGINIA COURT ELEMENTARY SCHOOL,458,352,36,70,388,76.86%,7.86%,84.72%
0180,ADAMS-ARAPAHOE 28J,9396,AURORA WEST COLLEGE PREPARATORY ACADEMY,754,669,43,41,712,88.73%,5.70%,94.43%
0180,ADAMS-ARAPAHOE 28J,9514,WHEELING ELEMENTARY SCHOOL,616,450,53,113,503,73.05%,8.60%,81.66%
0180,ADAMS-ARAPAHOE 28J,9756,YALE ELEMENTARY SCHOOL,527,303,46,177,349,57.50%,8.73%,66.22%
0180,ADAMS-ARAPAHOE 28J,,DISTRICT TOTAL,36967,19938,2739,14144,22677,53.93%,7.41%,61.34%
0190,BYERS 32J,1168,BYERS ELEMENTARY SCHOOL,256,68,27,140,95,26.56%,10.55%,37.11%
0190,BYERS 32J,1176,BYERS JUNIOR-SENIOR HIGH SCHOOL,224,58,32,134,90,25.89%,14.29%,40.18%
0190,BYERS 32J,,DISTRICT TOTAL,480,126,59,274,185,26.25%,12.29%,38.54%
0220,ARCHULETA COUNTY 50 JT,0064,ARCHULETA COUNTY HIGH SCHOOL,34,18,4,12,22,52.94%,11.76%,64.71%
0220,ARCHULETA COUNTY 50 JT,6652,PAGOSA SPRINGS ELEMENTARY SCHOOL,553,236,79,238,315,42.68%,14.29%,56.96%
0220,ARCHULETA COUNTY 50 JT,6656,PAGOSA SPRINGS INTERMEDIATE SCHOOL,212,79,31,102,110,37.26%,14.62%,51.89%
0220,ARCHULETA COUNTY 50 JT,6657,PAGOSA SPRINGS JUNIOR HIGH SCHOOL,251,101,28,122,129,40.24%,11.16%,51.39%
0220,ARCHULETA COUNTY 50 JT,6658,PAGOSA SPRINGS HIGH SCHOOL,467,139,53,275,192,29.76%,11.35%,41.11%
0220,ARCHULETA COUNTY 50 JT,,DISTRICT TOTAL,1517,573,195,749,768,37.77%,12.85%,50.63%
0230,WALSH RE-1,9222,WALSH ELEMENTARY SCHOOL,89,26,23,34,49,29.21%,25.84%,55.06%
0230,WALSH RE-1,9226,WALSH HIGH SCHOOL,78,21,13,44,34,26.92%,16.67%,43.59%
0230,WALSH RE-1,,DISTRICT TOTAL,167,47,36,78,83,28.14%,21.56%,49.70%
0240,PRITCHETT RE-3,7174,PRITCHETT ELEMENTARY SCHOOL,39,19,3,15,22,48.72%,7.69%,56.41%
0240,PRITCHETT RE-3,7176,PRITCHETT MIDDLE SCHOOL,14,5,4,5,9,35.71%,28.57%,64.29%
0240,PRITCHETT RE-3,7180,PRITCHETT HIGH SCHOOL,19,10,1,8,11,52.63%,5.26%,57.89%
0240,PRITCHETT RE-3,,DISTRICT TOTAL,72,34,8,28,42,47.22%,11.11%,58.33%
0250,SPRINGFIELD RE-4,8160,SPRINGFIELD ELEMENTARY SCHOOL,155,57,18,74,75,36.77%,11.61%,48.39%
0250,SPRINGFIELD RE-4,8164,SPRINGFIELD JUNIOR HIGH SCHOOL,49,13,13,23,26,26.53%,26.53%,53.06%
0250,SPRINGFIELD RE-4,8168,SPRINGFIELD HIGH SCHOOL,96,27,12,57,39,28.13%,12.50%,40.63%
0250,SPRINGFIELD RE-4,,DISTRICT TOTAL,300,97,43,154,140,32.33%,14.33%,46.67%
0260,VILAS RE-5,1781,COLORADO ONLINE ACADEMY (COLA),1,1,0,0,1,100%,0%,100%
0260,VILAS RE-5,9085,V.I.L.A.S. ONLINE SCHOOL,344,154,24,165,178,44.77%,6.98%,51.74%
0260,VILAS RE-5,9090,VILAS ELEMENTARY SCHOOL,29,9,1,19,10,31.03%,3.45%,34.48%
0260,VILAS RE-5,9100,VILAS UNDIVIDED HIGH SCHOOL,41,10,4,27,14,24.39%,9.76%,34.15%
0260,VILAS RE-5,,DISTRICT TOTAL,415,174,29,211,203,41.93%,6.99%,48.92%
0270,CAMPO RE-6,1248,CAMPO ELEMENTARY SCHOOL,22,10,3,8,13,45.45%,13.64%,59.09%
0270,CAMPO RE-6,1252,CAMPO UNDIVIDED HIGH SCHOOL,27,15,5,7,20,55.56%,18.52%,74.07%
0270,CAMPO RE-6,,DISTRICT TOTAL,49,25,8,15,33,51.02%,16.33%,67.35%
0290,LAS ANIMAS RE-1,1812,LAS ANIMAS ELEMENTARY SCHOOL,274,185,31,58,216,67.52%,11.31%,78.83%
0290,LAS ANIMAS RE-1,4495,JUMP START LEARNING CENTER,52,32,7,11,39,61.54%,13.46%,75%
0290,LAS ANIMAS RE-1,4983,LAS ANIMAS A+ DISTANCE LEARNING SCHOOL,6,3,1,2,4,50%,16.67%,66.67%
0290,LAS ANIMAS RE-1,4986,LAS ANIMAS MIDDLE SCHOOL,112,78,15,19,93,69.64%,13.39%,83.04%
0290,LAS ANIMAS RE-1,4990,LAS ANIMAS HIGH SCHOOL,148,74,26,48,100,50%,17.57%,67.57%
0290,LAS ANIMAS RE-1,,DISTRICT TOTAL,592,372,80,138,452,62.84%,13.51%,76.35%
0310,MC CLAVE RE-2,5666,MC CLAVE ELEMENTARY SCHOOL,147,71,10,64,81,48.30%,6.80%,55.10%
0310,MC CLAVE RE-2,5670,MC CLAVE UNDIVIDED HIGH SCHOOL,112,49,6,57,55,43.75%,5.36%,49.11%
0310,MC CLAVE RE-2,,DISTRICT TOTAL,259,120,16,121,136,46.33%,6.18%,52.51%
0470,ST VRAIN VALLEY RE 1J,0060,LEGACY ELEMENTARY SCHOOL,531,92,25,387,117,17.33%,4.71%,22.03%
0470,ST VRAIN VALLEY RE 1J,0061,ALPINE ELEMENTARY SCHOOL,505,84,8,374,92,16.63%,1.58%,18.22%
0470,ST VRAIN VALLEY RE 1J,0226,ALTONA MIDDLE SCHOOL,611,75,13,522,88,12.27%,2.13%,14.40%
0470,ST VRAIN VALLEY RE 1J,0875,BLACK ROCK ELEMENTARY,781,45,12,696,57,5.76%,1.54%,7.30%
0470,ST VRAIN VALLEY RE 1J,0878,BLUE MOUNTAIN ELEMENTARY,429,18,8,370,26,4.20%,1.86%,6.06%
0470,ST VRAIN VALLEY RE 1J,1148,BURLINGTON ELEMENTARY SCHOOL,480,138,38,285,176,28.75%,7.92%,36.67%
0470,ST VRAIN VALLEY RE 1J,1245,CENTENNIAL ELEMENTARY,509,117,29,351,146,22.99%,5.70%,28.68%
0470,ST VRAIN VALLEY RE 1J,1284,CARBON VALLEY ACADEMY,440,44,13,312,57,10%,2.95%,12.95%
0470,ST VRAIN VALLEY RE 1J,1434,CENTRAL ELEMENTARY SCHOOL,440,214,42,163,256,48.64%,9.55%,58.18%
0470,ST VRAIN VALLEY RE 1J,1844,COLUMBINE ELEMENTARY SCHOOL,381,313,12,55,325,82.15%,3.15%,85.30%
0470,ST VRAIN VALLEY RE 1J,2343,EAGLE CREST ELEMENTARY SCHOOL,484,92,20,342,112,19.01%,4.13%,23.14%
0470,ST VRAIN VALLEY RE 1J,2758,ERIE ELEMENTARY SCHOOL,589,87,16,458,103,14.77%,2.72%,17.49%
0470,ST VRAIN VALLEY RE 1J,2760,ERIE MIDDLE SCHOOL,494,61,21,412,82,12.35%,4.25%,16.60%
0470,ST VRAIN VALLEY RE 1J,2761,ERIE HIGH SCHOOL,699,74,40,583,114,10.59%,5.72%,16.31%
0470,ST VRAIN VALLEY RE 1J,2912,FALL RIVER ELEMENTARY SCHOOL,543,49,13,451,62,9.02%,2.39%,11.42%
0470,ST VRAIN VALLEY RE 1J,2964,FLAGSTAFF CHARTER ACADEMY,675,35,14,625,49,5.19%,2.07%,7.26%
0470,ST VRAIN VALLEY RE 1J,3192,FREDERICK ELEMENTARY SCHOOL,547,278,56,191,334,50.82%,10.24%,61.06%
0470,ST VRAIN VALLEY RE 1J,3194,COAL RIDGE MIDDLE SCHOOL,797,246,55,496,301,30.87%,6.90%,37.77%
0470,ST VRAIN VALLEY RE 1J,3196,FREDERICK SENIOR HIGH SCHOOL,859,226,75,553,301,26.31%,8.73%,35.04%
0470,ST VRAIN VALLEY RE 1J,4202,HYGIENE ELEMENTARY SCHOOL,425,53,14,322,67,12.47%,3.29%,15.76%
0470,ST VRAIN VALLEY RE 1J,4278,INDIAN PEAKS ELEMENTARY SCHOOL,481,368,32,80,400,76.51%,6.65%,83.16%
0470,ST VRAIN VALLEY RE 1J,4333,IMAGINE CHARTER,547,52,24,471,76,9.51%,4.39%,13.89%
0470,ST VRAIN VALLEY RE 1J,5246,LOMA LINDA ELEMENTARY SCHOOL,443,277,38,117,315,62.53%,8.58%,71.11%
0470,ST VRAIN VALLEY RE 1J,5282,LONGMONT HIGH SCHOOL,1209,363,60,786,423,30.02%,4.96%,34.99%
0470,ST VRAIN VALLEY RE 1J,5284,LONGMONT ESTATES ELEMENTARY SCHOOL,488,95,29,323,124,19.47%,5.94%,25.41%
0470,ST VRAIN VALLEY RE 1J,5286,SUNSET MIDDLE SCHOOL,610,181,32,396,213,29.67%,5.25%,34.92%
0470,ST VRAIN VALLEY RE 1J,5288,LONGS PEAK MIDDLE SCHOOL,467,262,43,161,305,56.10%,9.21%,65.31%
0470,ST VRAIN VALLEY RE 1J,5364,LYONS ELEMENTARY SCHOOL,269,33,13,192,46,12.27%,4.83%,17.10%
0470,ST VRAIN VALLEY RE 1J,5368,LYONS MIDDLE/SENIOR HIGH SCHOOL,441,45,23,373,68,10.20%,5.22%,15.42%
0470,ST VRAIN VALLEY RE 1J,5722,MEAD HIGH SCHOOL,330,66,16,246,82,20%,4.85%,24.85%
0470,ST VRAIN VALLEY RE 1J,5726,MEAD ELEMENTARY SCHOOL,520,73,19,395,92,14.04%,3.65%,17.69%
0470,ST VRAIN VALLEY RE 1J,5730,MEAD MIDDLE SCHOOL,373,46,15,311,61,12.33%,4.02%,16.35%
0470,ST VRAIN VALLEY RE 1J,6156,MOUNTAIN VIEW ELEMENTARY SCHOOL,368,198,40,127,238,53.80%,10.87%,64.67%
0470,ST VRAIN VALLEY RE 1J,6274,NIWOT ELEMENTARY SCHOOL,504,21,4,445,25,4.17%,0.79%,4.96%
0470,ST VRAIN VALLEY RE 1J,6276,NIWOT HIGH SCHOOL,1309,177,32,1094,209,13.52%,2.44%,15.97%
0470,ST VRAIN VALLEY RE 1J,6344,HERITAGE MIDDLE SCHOOL,423,312,33,78,345,73.76%,7.80%,81.56%
0470,ST VRAIN VALLEY RE 1J,6404,NORTHRIDGE ELEMENTARY SCHOOL,413,312,46,50,358,75.54%,11.14%,86.68%
0470,ST VRAIN VALLEY RE 1J,6498,OLDE COLUMBINE HIGH SCHOOL,105,49,5,47,54,46.67%,4.76%,51.43%
0470,ST VRAIN VALLEY RE 1J,6499,ADULT EDUCATION/LINCOLN CENTER,201,39,4,149,43,19.40%,1.99%,21.39%
0470,ST VRAIN VALLEY RE 1J,7157,PRAIRIE RIDGE ELEMENTARY SCHOOL,379,41,28,279,69,10.82%,7.39%,18.21%
0470,ST VRAIN VALLEY RE 1J,7464,ROCKY MOUNTAIN ELEMENTARY SCHOOL,423,321,29,71,350,75.89%,6.86%,82.74%
0470,ST VRAIN VALLEY RE 1J,7565,ST. VRAIN COMMUNITY MONTOSSORI SCHOOL,109,9,0,78,9,8.26%,0%,8.26%
0470,ST VRAIN VALLEY RE 1J,7584,SANBORN ELEMENTARY SCHOOL,430,119,31,259,150,27.67%,7.21%,34.88%
0470,ST VRAIN VALLEY RE 1J,7789,SILVER CREEK HIGH SCHOOL,1077,120,40,914,160,11.14%,3.71%,14.86%
0470,ST VRAIN VALLEY RE 1J,7954,SKYLINE HIGH SCHOOL,1251,509,83,649,592,40.69%,6.63%,47.32%
0470,ST VRAIN VALLEY RE 1J,8140,SPANGLER ELEMENTARY SCHOOL,414,352,22,39,374,85.02%,5.31%,90.34%
0470,ST VRAIN VALLEY RE 1J,8903,TRAIL RIDGE MIDDLE SCHOOL,664,283,34,346,317,42.62%,5.12%,47.74%
0470,ST VRAIN VALLEY RE 1J,8927,TWIN PEAKS CHARTER ACADEMY,631,121,45,465,166,19.18%,7.13%,26.31%
0470,ST VRAIN VALLEY RE 1J,9430,WESTVIEW MIDDLE SCHOOL,626,137,36,453,173,21.88%,5.75%,27.64%
0470,ST VRAIN VALLEY RE 1J,,DISTRICT TOTAL,26724,7322,1380,17342,8702,27.40%,5.16%,32.56%
0480,BOULDER VALLEY RE 2,0000,NOT IN A SCHOOL,73,0,0,2,0,0%,0%,0%
0480,BOULDER VALLEY RE 2,0125,ARAPAHOE RIDGE HIGH SCHOOL,176,90,7,74,97,51.14%,3.98%,55.11%
0480,BOULDER VALLEY RE 2,0441,ASPEN CREEK K-8 SCHOOL,919,58,24,835,82,6.31%,2.61%,8.92%
0480,BOULDER VALLEY RE 2,0652,BEAR CREEK ELEMENTARY SCHOOL,352,15,2,335,17,4.26%,0.57%,4.83%
0480,BOULDER VALLEY RE 2,0872,BIRCH ELEMENTARY SCHOOL,430,85,41,301,126,19.77%,9.53%,29.30%
0480,BOULDER VALLEY RE 2,0919,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,284,32,10,242,42,11.27%,3.52%,14.79%
0480,BOULDER VALLEY RE 2,0924,BOULDER HIGH SCHOOL,1784,228,44,1499,272,12.78%,2.47%,15.25%
0480,BOULDER VALLEY RE 2,0934,BOULDER PREP CHARTER HIGH SCHOOL,158,80,0,71,80,50.63%,0%,50.63%
0480,BOULDER VALLEY RE 2,1066,BROOMFIELD HEIGHTS MIDDLE SCHOOL,530,97,35,398,132,18.30%,6.60%,24.91%
0480,BOULDER VALLEY RE 2,1070,BROOMFIELD HIGH SCHOOL,1400,133,32,1231,165,9.50%,2.29%,11.79%
0480,BOULDER VALLEY RE 2,1136,MANHATTAN MIDDLE SCHOOL OF THE ARTS AND ACADEMICS,498,107,21,369,128,21.49%,4.22%,25.70%
0480,BOULDER VALLEY RE 2,1352,CASEY MIDDLE SCHOOL,349,138,16,195,154,39.54%,4.58%,44.13%
0480,BOULDER VALLEY RE 2,1380,CENTAURUS HIGH SCHOOL,1076,233,65,763,298,21.65%,6.04%,27.70%
0480,BOULDER VALLEY RE 2,1390,CENTENNIAL MIDDLE SCHOOL,627,119,23,485,142,18.98%,3.67%,22.65%
0480,BOULDER VALLEY RE 2,1725,COAL CREEK ELEMENTARY SCHOOL,448,26,8,414,34,5.80%,1.79%,7.59%
