DISTRICT CODE,DISTRICT NAME,SCHOOL CODE,SCHOOL NAME,PK,K,1ST,2ND,3RD,4TH,5TH,6TH,7TH,8TH,9TH,10TH,11TH,12TH,TOTAL
0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,0,124,123,121,126,113,106,0,0,0,0,0,0,0,713
0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,0,71,86,88,72,71,69,0,0,0,0,0,0,0,457
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,514,463,435,469,1881
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM OPTIONS K-8 SCHOOL,0,98,100,100,75,76,75,72,67,54,0,0,0,0,717
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS MIDDLE SCHOOL,0,0,0,0,0,0,0,366,334,350,0,0,0,0,1050
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,561,516,463,440,1980
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE ELEMENTARY SCHOOL,0,53,60,70,64,71,67,0,0,0,0,0,0,0,385
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE ELEMENTARY SCHOOL,0,82,72,80,82,73,76,0,0,0,0,0,0,0,465
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ELEMENTARY SCHOOL,0,82,90,104,69,76,69,0,0,0,0,0,0,0,490
0020,ADAMS 12 FIVE STAR SCHOOLS,5814,THORNTON MIDDLE SCHOOL,0,0,0,0,0,0,0,210,213,256,0,0,0,0,679
0020,ADAMS 12 FIVE STAR SCHOOLS,5816,THORNTON HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,520,469,396,350,1735
0020,ADAMS 12 FIVE STAR SCHOOLS,6060,MOUNTAIN RANGE HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,523,519,531,475,2048
0020,ADAMS 12 FIVE STAR SCHOOLS,6150,MOUNTAIN VIEW ELEMENTARY SCHOOL,0,108,112,111,102,106,95,0,0,0,0,0,0,0,634
0020,ADAMS 12 FIVE STAR SCHOOLS,6261,NEW AMERICA SCHOOL,0,0,0,0,0,0,0,0,0,0,36,73,96,271,476
0020,ADAMS 12 FIVE STAR SCHOOLS,6342,SHADOW RIDGE MIDDLE SCHOOL,0,0,0,0,0,0,0,355,341,339,0,0,0,0,1035
0020,ADAMS 12 FIVE STAR SCHOOLS,6355,NORTH MOR ELEMENTARY SCHOOL,0,64,73,77,70,85,74,0,0,0,0,0,0,0,443
0020,ADAMS 12 FIVE STAR SCHOOLS,6376,NORTH STAR ELEMENTARY SCHOOL,0,83,88,73,68,71,88,0,0,0,0,0,0,0,471
0020,ADAMS 12 FIVE STAR SCHOOLS,6398,NORTHGLENN MIDDLE SCHOOL,0,0,0,0,0,0,0,256,256,225,0,0,0,0,737
0020,ADAMS 12 FIVE STAR SCHOOLS,6402,NORTHGLENN HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,488,470,446,415,1819
0020,ADAMS 12 FIVE STAR SCHOOLS,6830,NIVER CREEK MIDDLE SCHOOL,0,0,0,0,0,0,0,236,260,249,0,0,0,0,745
0020,ADAMS 12 FIVE STAR SCHOOLS,7155,PRAIRIE HILLS ELEMENTARY SCHOOL,0,81,105,99,94,91,72,0,0,0,0,0,0,0,542
0020,ADAMS 12 FIVE STAR SCHOOLS,7795,SILVER CREEK ELEMENTARY,0,135,126,128,110,128,110,0,0,0,0,0,0,0,737
0020,ADAMS 12 FIVE STAR SCHOOLS,8211,THE STUDIO SCHOOL,0,50,52,49,47,0,0,0,0,0,0,0,0,0,198
0020,ADAMS 12 FIVE STAR SCHOOLS,8225,STELLAR ELEMENTARY SCHOOL,0,98,123,107,102,107,103,0,0,0,0,0,0,0,640
0020,ADAMS 12 FIVE STAR SCHOOLS,8361,STUKEY ELEMENTARY SCHOOL,0,74,90,68,66,87,67,0,0,0,0,0,0,0,452
0020,ADAMS 12 FIVE STAR SCHOOLS,8842,THORNTON ELEMENTARY SCHOOL,0,70,87,82,83,87,75,0,0,0,0,0,0,0,484
0020,ADAMS 12 FIVE STAR SCHOOLS,9431,WESTGATE CHARTER,0,16,16,24,23,21,23,19,0,0,0,0,0,0,142
0020,ADAMS 12 FIVE STAR SCHOOLS,9444,WESTLAKE MIDDLE SCHOOL,0,0,0,0,0,0,0,331,290,296,0,0,0,0,917
0020,ADAMS 12 FIVE STAR SCHOOLS,9494,WESTVIEW ELEMENTARY SCHOOL,0,74,76,80,78,99,75,0,0,0,0,0,0,0,482
0020,ADAMS 12 FIVE STAR SCHOOLS,9682,WOODGLEN ELEMENTARY SCHOOL,0,61,65,69,82,67,85,0,0,0,0,0,0,0,429
0020,ADAMS 12 FIVE STAR SCHOOLS,,DISTRICT TOTAL,779,3060,3298,3392,3262,3278,3257,3175,3163,3247,3230,3159,2902,2747,41949
0030,ADAMS COUNTY 14,0020,ADAMS CITY MIDDLE SCHOOL,0,0,0,0,0,0,0,237,248,206,0,0,0,0,691
0030,ADAMS COUNTY 14,0022,LESTER R ARNOLD HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,1,20,42,140,203
0030,ADAMS COUNTY 14,0024,ADAMS CITY HIGH SCHOOL,0,0,0,0,0,0,0,0,0,0,502,452,421,290,1665
0030,ADAMS COUNTY 14,0124,ACSD 14 CHILD CARE CENTER,110,0,0,0,0,0,0,0,0,0,0,0,0,0,110
0030,ADAMS COUNTY 14,0186,ALSUP ELEMENTARY SCHOOL,32,94,101,107,84,84,89,0,0,0,0,0,0,0,591
0030,ADAMS COUNTY 14,1426,CENTRAL ELEMENTARY SCHOOL,59,108,100,96,103,96,76,0,0,0,0,0,0,0,638
0030,ADAMS COUNTY 14,1882,COMMUNITY LEADERSHIP ACADEMY,0,56,58,57,59,55,56,51,48,32,0,0,0,0,472
0030,ADAMS COUNTY 14,2308,DUPONT ELEMENTARY SCHOOL,32,82,98,83,99,94,84,0,0,0,0,0,0,0,572
0030,ADAMS COUNTY 14,4516,KEARNEY MIDDLE SCHOOL,0,0,0,0,0,0,0,192,154,179,0,0,0,0,525
0030,ADAMS COUNTY 14,4536,KEMP ELEMENTARY SCHOOL,62,69,63,68,60,52,58,0,0,0,0,0,0,0,432
0030,ADAMS COUNTY 14,5880,MILDRED L SANVILLE PRESCHOOL,92,0,0,0,0,0,0,0,0,0,0,0,0,0,92
0030,ADAMS COUNTY 14,5982,MONACO ELEMENTARY SCHOOL,59,90,76,65,66,69,69,0,0,0,0,0,0,0,494
0030,ADAMS COUNTY 14,6534,HANSON ELEMENTARY SCHOOL,32,57,62,72,49,50,48,57,45,41,0,0,0,0,513
0030,ADAMS COUNTY 14,7500,ROSE HILL ELEMENTARY SCHOOL,30,70,74,75,67,40,68,0,0,0,0,0,0,0,424
